country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,96.6851,137.3496,43.20346,8.655388087966589,,98.1352279663086,0.9516573458793804,83.88120330699302,2.114010742448916,85.97935281832211,85.97935281832211
LAC,,,,,71.14,106.2503118051222,15.12561637302764,7.483868856529792,94.10554504394533,97.50650787353511,0.1475723652719261,61.63862068618053,0.21982365041988938,61.55917192833036,61.55917192833036
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,52.40648,61.32496,1.5534452,4.531836152455594,,62.06396246382876,-1.136780736590014,26.110870919135383,-2.414829828844346,27.592772929612625,27.592772929612625
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,81.98034,74.25544,7.4182375,5.614936234153849,,65.48667558244126,-0.6094556274827219,40.697727520395425,-1.242440158254674,42.707419180680475,42.707419180680475
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend,62.33496,92.88764,14.26636,6.009298592371966,,88.37081718444826,-0.32996390405972464,48.42902197309479,-0.681598824394752,49.93788067050763,49.93788067050763
LCN,,,,,71.6,106.08,15.138,7.627516893344081,94.37714233398438,97.36598358154296,0.16130741525482362,62.018559363576045,0.2527731723034725,61.983962746524526,61.983962746524526
LDC,,,,,23.82,76.05480415794713,1.393967767735076,3.9306475879562086,66.64217681884766,46.8956596374512,-1.4093581623049285,18.57083963108404,-3.376925030494534,15.189278598689029,15.189278598689029
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,94.87955,125.3352,46.30328,10.865624319549138,,117.54378509521474,1.2214691879227029,91.34473307493923,2.776783366367373,94.52392976804994,94.52392976804994
LKA,Sri Lanka,South Asia,Lower middle income,IDA,37.84756,136.3242,8.489518,6.039834490855292,92.2519989013672,91.31217245910294,-0.13901353303658495,53.71108730995554,-0.6605742826690614,50.208932624261884,50.208932624261884
LMY,,,,,,102.1345519930034,12.0752408683585,6.956977803799981,84.75580444335937,72.97304077148439,-0.29919252769844856,49.28021916938458,-0.6548372461838678,50.282895470556454,50.282895470556454
LTE,,,,,,124.8492339155,28.49115717768584,8.053316963760425,96.35731048583985,92.38404846191408,0.49678438100065775,71.29851646754288,0.8419967004495403,69.5803322933959,69.5803322933959
LTU,Lithuania,Europe & Central Asia,High income,Not classified,83.80294,133.47899999999998,28.41506,10.675896423090688,,105.6612579345702,0.8257672515601518,80.39883404059789,1.825359419924465,82.25801106710591,82.25801106710591
LUX,Luxembourg,Europe & Central Asia,High income,Not classified,97.90888,134.5256,37.581900000000005,10.78320683021798,,107.0662200927732,1.0976299973956354,87.9190958681456,2.455115737834828,90.37693620639229,90.37693620639229
LVA,Latvia,Europe & Central Asia,High income,Not classified,88.16408,110.6738,26.32864,9.898871815829986,,106.658596801758,0.6215266799513234,74.74913544145305,1.444926186890484,77.35340137656968,77.35340137656968
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,86.8324,200.209416,29.75726,8.452261418878264,,90.14524657450404,1.0422864426013887,86.38818356443545,2.067863890790421,85.3844197888731,85.3844197888731
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,82.215,133.9144,5.506614000000001,6.116523520274527,,80.66390785372623,-0.05517484524010775,56.03023141177034,-0.20770113187774764,56.04745000677549,56.04745000677549
