country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary,cluster
GRC,Greece,Europe & Central Asia,High income,Not classified,77.53808,109.7228,39.981759999999994,9.106045570210425,,105.00602874755842,117.31115486145012,0.7307149834067249,82.8420698397031,1.024151219418216,82.70895807494519,-0.1493767834046103,1.266575560178268,1.9552548814809905,82.70895807494519,1
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,92.67294,200.355306,38.29974,11.233027072037313,,104.0057745813288,90.04121561920634,1.3371986636916933,100.0,1.8853157051300888,100.0,2.6472367199815374,1.7621814720543465,1.246528923354382,100.0,1
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,45.8036,74.37056,3.99754,4.623264724823004,87.99880531473492,57.7861385092891,,-1.1512901564105402,29.598571622023567,-1.6280845021074848,29.455578706752465,-2.109368290086099,-1.7113199754790984,-1.063565240757257,29.455578706752465,0
HRV,Croatia,Europe & Central Asia,High income,IBRD,79.20418,111.408,27.48698,10.101429678568865,,105.4271240234374,76.08403167724609,0.4313726311414432,74.37342453044532,0.6058377052248877,74.30977692924952,-0.0507863234713373,0.9258908663544018,0.9424085727915988,74.30977692924952,1
HUN,Hungary,Europe & Central Asia,High income,Not classified,83.80018,104.9584,33.80362,10.448279940678397,,102.18158111572282,54.49164581298828,0.3725440510700558,72.70911483653893,0.5256672397855181,72.70006020025856,-0.0589174276647036,1.32907139081234,0.3068477562089177,72.70006020025856,1
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,53.98216,125.61,4.06009,7.550006110192276,,96.07085292305828,38.91859935030196,-0.4064036243751656,50.672034123114194,-0.5733178968658408,50.6338946904925,-0.541010352856857,-0.9131030673719694,-0.2658402703686959,50.6338946904925,1
IND,India,South Asia,Lower middle income,IBRD,37.22755,82.4976,1.7276520000000002,6.132411895340297,75.30826377419896,78.46845814844772,30.09736699414824,-1.0553499678292062,32.31279973525289,-1.5855994511207292,30.308622242555995,-2.1928199858920743,-1.4123241484305964,-1.1516542190395171,30.308622242555995,0
IRL,Ireland,Europe & Central Asia,High income,Not classified,91.80884,105.8306,30.465960000000003,11.565575863243817,,139.3253753662108,76.50513763427736,0.873757650610417,86.88886643721474,1.2275373917583474,86.79268295127068,0.2325643775955414,1.4693817747286348,1.9806660229508657,86.79268295127068,1
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,75.17562000000001,140.094,11.295573999999998,7.896849572087056,87.83994499540026,,57.513188171386695,0.043583069623259,63.4025337551242,0.059130058398756,63.33261170836334,0.5376358925198558,-0.4649838826221502,0.1047381652985625,63.33261170836334,1
ISL,Iceland,Europe & Central Asia,High income,Not classified,99.50878,116.7202,38.44422,11.226481724584987,,112.9833526611328,77.20972747802735,0.8836743972364774,87.16941948679946,1.2444867294132522,87.13300319537667,0.7664759675712483,1.767469679081071,1.1995145415874373,87.13300319537667,1
