country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary,cluster
CHL,Chile,Latin America & Caribbean ,High income,IBRD,82.48666,128.7826,16.50826,8.614712332289972,,102.456690979004,89.68988800048831,0.5852437929394135,78.67910327073973,1.4214822411708554,77.4728189383461,77.4728189383461,0
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,Blend,39.46464,116.1382,0.5805606,2.6993478531402864,,48.83599448756114,9.302624138933972,-1.1934352029939908,27.497552654438316,-3.049990530276119,25.05139859202668,25.05139859202668,1
COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,61.086940000000006,127.8878,12.98624,6.139680822087462,94.82654234845911,99.5343521118163,56.86455307006834,0.0741375176163887,63.97200223645388,0.0062973584570991,60.88186437003999,60.88186437003999,0
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,Blend,54.32226000000001,118.1792,3.23552,5.759786834006393,,96.90085735923188,23.7668963687779,-0.4318337020495047,49.41266260916384,-1.1060843290630586,47.840830462956106,47.840830462956106,1
CRI,Costa Rica,Latin America & Caribbean ,High income,IBRD,70.38148,165.01399999999998,14.96078,6.807287582791944,,122.8506454467774,53.0039665222168,0.4902354300070353,75.94523428847087,1.0163626383265856,72.72338937078973,72.72338937078973,0
CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified,53.61638000000001,41.559659999999994,0.6020085,2.6169490145255914,,98.56670294377771,40.02069749654506,-0.9682180791733984,33.97818330720679,-2.1579191830093354,35.50961883941214,35.50961883941214,1
CYP,Cyprus,Europe & Central Asia,High income,Not classified,79.77126,135.366,34.02096,8.896339990289874,,100.06682434082023,74.60711288452151,0.7227005450994092,82.63442614480184,1.7639825902248172,81.48813015329257,81.48813015329257,0
CZE,Czechia,Europe & Central Asia,High income,Not classified,78.48486,120.2632,30.594780000000004,10.225546569416863,,102.3521514892576,67.22413177490236,0.6486032577172435,80.50227409637064,1.660585593458376,80.27595293404347,80.27595293404347,0
DEU,Germany,Europe & Central Asia,High income,Not classified,86.26415999999999,126.3332,39.79626,10.51588996185398,,101.2260452270508,69.30341186523438,0.8668421147066662,86.78210487583418,2.201004750828515,86.61157013663606,86.61157013663606,0
DNK,Denmark,Europe & Central Asia,High income,Not classified,97.15266,123.896,43.24902,11.42430266510486,,130.9443786621094,81.9258087158203,1.3108892858603651,99.55957783098197,3.3430188204771,100.0,100.0,0
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,68.03908,82.81548000000001,7.600076,4.545084051767058,93.22272731720484,80.40904173340674,55.3872355599698,-0.3741100569001335,51.0736625269256,-1.0694342524757978,48.27049853177986,48.27049853177986,1
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,55.10065999999999,87.00829999999999,10.607082,5.295469381350148,93.8799997965495,96.76958033488977,46.377037966971166,-0.2988671232196461,53.238780587852574,-0.8863301081046682,50.4171244445048,50.4171244445048,1
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,45.64498,93.45614,5.319122,3.2408861031368197,,76.76929770033748,33.5211492434286,-0.8416373995311751,37.620546812350945,-2.068073316970871,36.56292904629893,36.56292904629893,1
ESP,Spain,Europe & Central Asia,High income,Not classified,84.13579999999999,112.6746,31.13094,8.985113717918933,98.2766672770182,121.3270782470704,90.69278411865234,0.8213662558727416,85.47353543972474,2.213515720133534,86.75824279112838,86.75824279112838,0
EST,Estonia,Europe & Central Asia,High income,Not classified,88.66766,145.237,32.1865,10.464531741525496,,111.6163360595702,72.90513763427734,0.9847337200333626,90.17443996218792,2.4055815294867364,89.00993100234882,89.00993100234882,0
