country_iso3,score_p05,score_p50,score_p95,rank_p05,rank_p50,rank_p95
RUS,-0.04290182451845195,0.2918233703929844,0.6138742780168235,9.0,23.0,47.0
SAU,0.3062341019732765,0.5616249036199064,0.8270665895027013,7.0,9.0,44.0
SGP,-0.024556543070999404,0.2328732530670696,0.5004341779037492,15.0,32.0,72.0
SRB,0.02647165912254795,0.228164688945591,0.4222206617357461,29.0,35.0,45.0
SVK,0.18102377189279362,0.23145595159237098,0.28387288562401425,30.0,33.0,57.0
SVN,0.1788838978694265,0.27896977194002676,0.3752659189727902,23.0,33.0,36.0
SWE,-0.19816445548689976,0.06886185218949556,0.3463969584959197,24.0,54.0,79.0
TUR,-0.17275532323771442,0.1838407829658464,0.5269344651978318,20.0,44.0,54.0
TWN,-0.17080531568776453,-0.153162420424109,-0.1348251904516759,51.0,65.0,78.0
UGA,-1.6344753941533017,-0.7051938056691869,0.1889007637241224,55.0,82.0,83.0
UKR,-1.0471338530607046,-0.2589960037909469,0.4992991994045681,24.0,72.0,75.0
URY,0.060756241324417294,0.1965957085991819,0.3377811270651336,25.0,39.0,66.0
UZB,-1.1311931230924728,-0.1850068453113844,0.7253523214709254,5.0,68.0,76.0
VNM,-0.7504615799432505,-0.028913959924717014,0.6653124366937775,8.0,59.0,71.0
