country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,DII_equal_zmean,DII_equal_0100,DII_pillar_mean,DII_pillar_0100,pillar_access_use_pc1,pillar_quality_infra_pc1,pillar_skills_pc1,DII_primary
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,23.96774,88.72677999999999,0.1909576,2.6137332688229624,48.07000096638996,43.940106709798165,-1.7359444401977022,12.408828585702034,-2.20501368174758,13.108414674073538,-2.0473971102762794,-2.155467891113527,-2.4121760438529325,13.108414674073538
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,11.150282,105.28118,0.06619642,2.289099347850723,40.35539992014566,38.14564382367104,-1.879225886272607,8.397874438664493,-2.343843671894834,10.011311851809726,-2.0397823853837926,-2.244905838284254,-2.7468427920164555,10.011311851809726
BGD,Bangladesh,South Asia,Lower middle income,IDA,34.5286,105.04198,5.937048,5.210109884341822,75.77200164794924,66.1379351160208,-0.8929345797094298,36.007654452878946,-1.2366870414465907,34.71042708773459,-1.343842252558137,-1.2120958893650033,-1.1541229824166321,34.71042708773459
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,71.45796,116.44,30.8454,10.804663959152096,,100.68732757568348,0.49069325634243705,74.74028843304937,0.6140716571207933,75.99826397789451,0.03453982515241208,1.4223093454782887,0.3853658007316788,75.99826397789451
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,99.5459874,131.201,12.52307,7.637956495573586,,102.07446410133234,0.3603718514029675,71.09213164855922,0.4657019412863222,72.68834322401402,1.2272747111528484,-0.27170174196757707,0.44153285467369535,72.68834322401402
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified,91.0435,105.27778,20.8749,7.870392141071707,,77.361938436651,0.04062863922627184,62.1413889111027,-0.004036352964763679,62.20913916077582,0.3578179474836367,0.18918408162182798,-0.5591110879997557,62.20913916077582
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD,73.55998,110.9346,23.740879999999997,8.09587085813909,,85.89075622558593,0.0559302164066372,62.56973414441167,0.04606446527205498,63.326818312048495,-0.032834687315871455,0.3847956811759927,-0.21376759804395631,63.326818312048495
BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,84.68054,125.27939999999998,34.347159999999995,8.89109847683822,,100.41826159902834,0.5684022994095799,76.91563923450299,0.7046409740749372,78.01873870998705,0.6408259006659646,1.0986260699968864,0.374470951561961,78.01873870998705
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Blend,63.851600000000005,66.47085999999999,8.445656,12.02289414628581,,87.23687939410885,-0.235645790460484,54.40749104903605,-0.2924998286795886,55.77392265021639,-1.3778258955859963,0.6595876405386298,-0.15926123099139938,55.77392265021639
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,57.00792,100.37708,7.821878000000001,5.329511464329699,,89.43999783136925,-0.5433888953086405,45.7926737336969,-0.6468949902392866,47.867862483396685,-0.7797553451432229,-1.0908756714577137,-0.07005395411692349,47.867862483396685
BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,77.38142,100.73846,17.84476,8.085766969649848,94.21196967758311,105.1538864135744,0.16483983498324917,65.61849934220128,0.20135231872563664,66.79107303600439,-0.15976140561692517,0.09900723242243978,0.6648111293713953,66.79107303600439
BRB,Barbados,Latin America & Caribbean ,High income,IBRD,75.97918,113.1914,37.81616,6.868105639275967,,105.2827743530274,0.3537631194058597,70.9071298794076,0.46997648989663604,72.7837024223462,0.09324621710474017,0.7452415305161825,0.5714417220689855,72.7837024223462
