country_iso3,country_name,region,income_group,lending_type,IT.NET.USER.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR.P6,SE.ADT.LITR.ZS,SE.SEC.ENRR,SE.TER.ENRR,DII_equal_zmean,DII_equal_0100,DII_pca_pc1,DII_pca_0100,DII_primary
DEU,Germany,Europe & Central Asia,High income,Not classified,89.60898,127.3892,43.0137,11.455467685203429,,101.0636993408204,73.45783386230471,0.9795718180591915,85.32543355185518,2.422450903538363,88.53544910563635,88.53544910563635
DNK,Denmark,Europe & Central Asia,High income,Not classified,97.72814,125.1162,44.33138,11.952811075096436,,130.2509796142576,82.81367340087891,1.330832957314777,95.30971819500071,3.331749375218851,99.67968178470346,99.67968178470346
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,80.5821,84.918,9.377014,4.922640334424626,93.650302629855,78.86987569405241,56.78734164083426,-0.2735413034214295,49.70681054835948,-0.8304509211301306,48.668347218539296,48.668347218539296
EAP,,,,,70.9,124.288576019194,25.66523941826412,7.079472891836778,96.281884765625,88.32565307617188,50.72917251586914,0.2110077069161061,63.47968406638411,0.36862334413766723,63.3640307897762,63.3640307897762
EAR,,,,,,96.29318525959204,4.928450786402761,6.906768659262663,80.34572143554684,75.49279937744141,32.40700950622556,-0.5774119242914053,41.069559129415474,-1.291046800050954,43.02334966759574,43.02334966759574
EAS,,,,,72.94,126.23999999999998,26.55,8.151520161841397,96.055012512207,89.60653686523438,52.9898681640625,0.32092247923268,66.60391345202274,0.6854447918057246,67.24694936986192,67.24694936986192
ECA,,,,,74.34,109.0091840468306,17.573947768170477,8.474982509211799,98.81217651367189,99.47240600585944,74.59638671875003,0.36527749152952055,67.86466512259011,0.8398588726292914,69.13942637187624,69.13942637187624
ECS,,,,,83.2,124.7,29.704,10.344462603927402,98.63281860351564,103.8434204101564,76.31258544921876,0.7646507083611255,79.21649266646781,1.9484513524104459,82.72617805541621,82.72617805541621
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,65.24658000000001,93.05474,13.23632,6.103316103934682,94.79000091552736,94.30407635466082,52.8450945299456,-0.13810381608650577,53.55650034829026,-0.482274378301704,52.93554938319507,52.93554938319507
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,64.07509999999999,87.87694,8.459641999999999,3.6795410822361023,,79.10721013448361,36.020117541412695,-0.7481159720397955,36.21744879899573,-1.7496492189795922,37.40278367865433,37.40278367865433
ESP,Spain,Europe & Central Asia,High income,Not classified,91.6829,118.1634,33.96346,9.929468534425212,98.90999857584632,118.690623474121,92.65069732666016,0.9773841613978986,85.26325136211992,2.6064135839198315,90.7900695391746,90.7900695391746
EST,Estonia,Europe & Central Asia,High income,Not classified,90.22882,147.6866,35.71448,11.331320035175706,,112.627471923828,72.27835083007812,1.0864376268938598,88.36299886946053,2.593944857780841,90.63725460586929,90.63725460586929
FCS,,,,,29.660000000000004,74.86,2.052,6.005175247556673,67.24890747070313,46.41756820678712,,-1.3526306245991033,19.034658881228395,-2.9238775312834835,23.01160857145478,23.01160857145478
FIN,Finland,Europe & Central Asia,High income,Not classified,91.29292,128.9874,33.0709,11.313484165637588,,140.0508137512205,97.85180969238289,1.2900468571688528,94.1504096697145,3.201987068354446,98.08933341647528,98.08933341647528
FJI,Fiji,East Asia & Pacific,Upper middle income,Blend,68.5638,110.3036,2.399428,5.433730819178027,,92.95205219357322,77.18929794844942,-0.1907597647026427,52.0598019652795,-0.4705462012373865,53.07928825241861,53.07928825241861
FRA,France,Europe & Central Asia,High income,Not classified,84.30362,111.4748,46.41126,10.449902233054862,,104.2512145996094,69.11962127685545,0.8126514865133222,80.58087198033009,2.087046603381857,84.42478172972419,84.42478172972419
GBR,United Kingdom,Europe & Central Asia,High income,Not classified,94.10444,118.692,40.56598,10.537984868945951,,115.7169174194336,70.48438644409177,0.9526045337237536,84.55891254293213,2.4061092210250377,88.33516777011471,88.33516777011471
GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,71.85004,144.1118,25.55276,8.139089871464666,99.80560131498994,108.2993475690142,72.95126168165783,0.6485636960471134,75.91682286305104,1.4937114434626368,77.1529504391788,77.1529504391788
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,53.110299999999995,127.2816,0.322027,3.8155677825148104,,73.4891037843599,18.3050779726281,-0.8193654612459232,34.192245605667,-2.1250161522922264,32.8023399573173,32.8023399573173
GRC,Greece,Europe & Central Asia,High income,Not classified,77.53808,109.7228,39.981759999999994,9.106045570210425,,105.00602874755842,112.18259201049824,0.8507751805220232,81.66450398538969,2.1718653981234013,85.46430880867209,85.46430880867209
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Not classified,92.67294,200.209416,38.29974,11.233027072037313,,104.0057745813288,90.04121561920634,1.4958436505330297,100.0,3.3578853032821327,100.0,100.0
HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,45.8036,74.37056,3.99754,4.623264724823004,87.99880531473492,57.7861385092891,,-0.9781046100404079,29.680226858208687,-2.348733174227537,30.060495970592655,30.060495970592655
HPC,,,,,,72.47242541091698,0.6088222449321321,3.150882477013902,65.09931640625,41.66886978149414,8.868712663650516,-1.5816797653768553,12.524141311196285,-3.432309326821104,16.78034083333185,16.78034083333185
HRV,Croatia,Europe & Central Asia,High income,IBRD,79.20418,111.408,27.48698,10.101429678568865,,105.4271240234374,76.08403167724609,0.5789629999254992,73.93848514282392,1.4831587352455446,77.02361794888192,77.02361794888192
HUN,Hungary,Europe & Central Asia,High income,Not classified,83.80018,104.9584,33.80362,10.448279940678397,,102.18158111572282,54.49164581298828,0.51879127403238,72.22815749297509,1.3742330848378157,75.6886406772067,75.6886406772067
IBD,,,,,63.34,110.54,16.064,7.654444426366833,89.65951995849608,86.70488281250002,46.15563430786132,-0.07385035877827138,55.38284757369405,-0.28662447005313807,55.33340681842266,55.33340681842266
IBT,,,,,53.620000000000005,102.96,12.196000000000002,7.361883701755445,84.92666473388674,73.2045120239258,35.099575042724595,-0.41557666298309254,45.66958211409391,-1.172881384447618,44.471568186723495,44.471568186723495
IDA,,,,,27.160000000000004,82.14,1.652,4.794905446421265,68.59743804931641,47.96279983520506,11.70024604797362,-1.381203567454413,18.222498460738024,-3.6192712152753876,14.488962532429511,14.488962532429511
IDB,,,,,29.72,87.5,1.67,5.43493793701931,67.91269378662108,46.51267318725586,10.838009834289544,-1.3204979894634725,19.948000380400156,-3.4557514764469697,16.493037183249445,16.493037183249445
IDN,Indonesia,East Asia & Pacific,Upper middle income,IBRD,53.98216,125.61,4.06009,7.550006110192276,,96.07085292305828,38.91859935030196,-0.2514724406607211,50.33409829223115,-0.6836735110773836,50.4672302702568,50.4672302702568
IDX,,,,,25.76,79.22,1.636,4.13570816459423,69.45198669433596,48.9434944152832,12.12997589111328,-1.4261887090004148,16.94383592818652,-3.7516982439077893,12.865955713392937,12.865955713392937
IND,India,South Asia,Lower middle income,IBRD,37.22755,82.4976,1.7276520000000002,6.132411895340297,75.30826377419896,78.46845814844772,30.09736699414824,-0.895116374812469,32.03909343907794,-2.3070313879371844,30.57158712935545,30.57158712935545
IRL,Ireland,Europe & Central Asia,High income,Not classified,91.80884,105.8306,30.465960000000003,11.565575863243817,,139.3253753662108,76.50513763427736,1.0056351261785237,86.06625984296414,2.6049590569190517,90.77224306322692,90.77224306322692
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,IBRD,75.17562000000001,140.094,11.295573999999998,7.896849572087056,87.83994499540026,,57.513188171386695,0.1969331494794501,63.07962732235691,0.30795156013901953,62.620446038461886,62.620446038461886
ISL,Iceland,Europe & Central Asia,High income,Not classified,99.50878,116.7202,38.44422,11.226481724584987,,112.9833526611328,77.20972747802735,1.0224252475007019,86.54350406880945,2.5852758017238346,90.53100788840962,90.53100788840962
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,88.55922000000001,138.243,29.14268,9.378490920393745,,96.52106170654297,57.27947769165038,0.6083946408870439,74.77505329123247,1.4305617375155408,76.37899662906352,76.37899662906352
ITA,Italy,Europe & Central Asia,High income,Not classified,74.52886000000001,132.47820000000002,30.050940000000004,9.915448556844524,,101.658610534668,68.81173400878905,0.6216148198114421,75.15082508794826,1.4899331328680125,77.10664400217085,77.10664400217085
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,78.0405,70.83088000000001,5.488414000000001,4.839768795761878,,90.1115103440606,30.98368055083078,-0.66218408026524,38.659986192171075,-1.4445017033976055,41.14262820825104,41.14262820825104
JPN,Japan,East Asia & Pacific,High income,Not classified,87.90675999999999,154.298,34.77202,9.978683232387278,,102.4866729736326,62.8524757385254,0.8823147530924005,82.56098821001285,2.046280834729474,83.92516226994046,83.92516226994046
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,85.989,129.1678,13.59024,8.0756329482997,,94.59112816673496,57.64627634266937,0.25340485572023713,64.6847852131131,0.5698840908340662,65.83065386261865,65.83065386261865
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,IDA,71.72336,119.0794,4.493902,6.002089120358663,,91.87123283331182,46.31376363417894,-0.2441784193850133,50.54142434248584,-0.6356415446132436,51.05590321646803,51.05590321646803
KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,55.894125,121.194,1.6964739999999998,5.054475670798671,80.72972385434217,52.233772702483975,13.638486109193142,-0.8209883435662787,34.1461166229304,-2.3846662483582013,29.62010532719234,29.62010532719234
KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,96.6851,137.3496,43.20346,8.655388087966589,,98.1352279663086,97.47536010742188,1.031751981659873,86.80860817008708,2.4978125590218005,89.45907083155323,89.45907083155323
LAC,,,,,71.14,106.2503118051222,15.12561637302764,7.483868856529792,94.10554504394533,97.50650787353511,52.90507431030272,0.07781879500077868,59.69390801756854,0.10177232883603816,60.09354271816355,60.09354271816355
LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,52.40648,61.32496,1.5534452,4.531836152455594,,62.06396246382876,13.383353035737802,-1.2731281399521512,21.29444611028167,-2.9490650715802516,22.70291366167251,22.70291366167251
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,81.98034,74.25544,7.4182375,5.614936234153849,,65.48667558244126,52.79753108573988,-0.5770523043562944,41.07978100537677,-1.268699721595406,43.29723228123935,43.29723228123935
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,Blend,62.33496,92.88764,14.26636,6.009298592371966,,88.37081718444826,15.900979518890376,-0.5636500214243754,41.4607289461135,-1.295177123743663,42.972729008147866,42.972729008147866
LCN,,,,,71.6,106.08,15.138,7.627516893344081,94.37714233398438,97.36598358154296,55.13427810668944,0.10156412965820276,60.368847980095865,0.16629522468488947,60.88432614831483,60.88432614831483
LDC,,,,,23.82,76.05480415794713,1.393967767735076,3.9306475879562086,66.64217681884766,46.8956596374512,10.5718879699707,-1.5181924632219275,14.328711259592891,-3.955519521828679,10.367951134217376,10.367951134217376
LIE,Liechtenstein,Europe & Central Asia,High income,Not classified,94.87955,125.3352,46.30328,10.865624319549138,,117.54378509521474,42.0209197998047,0.9300721103590912,83.91844850227731,2.3328052910854726,87.43676523565671,87.43676523565671
LKA,Sri Lanka,South Asia,Lower middle income,IDA,37.84756,136.3242,8.489518,6.039834490855292,92.2519989013672,91.31217245910294,20.13104023205722,-0.3469169340947951,47.62117367982976,-1.2547219623614176,43.468541709427065,43.468541709427065
LMY,,,,,,102.1345519930034,12.0752408683585,6.956977803799981,84.75580444335937,72.97304077148439,34.53705596923828,-0.4057241091739409,45.949632170017985,-0.9652867728651976,47.01581820632318,47.01581820632318
LTE,,,,,,124.8492339155,28.49115717768584,8.053316963760425,96.35731048583985,92.38404846191408,58.36907196044922,0.41558736217252096,69.29467833135004,0.7912985401345226,68.54427784677817,68.54427784677817
LTU,Lithuania,Europe & Central Asia,High income,Not classified,83.80294,133.47899999999998,28.41506,10.675896423090688,,105.6612579345702,71.32569732666015,0.769532452477256,79.3552518896308,1.8570960662747733,81.60654066806072,81.60654066806072
LUX,Luxembourg,Europe & Central Asia,High income,Not classified,97.90888,134.5256,37.581900000000005,10.78320683021798,,107.0662200927732,20.1033218383789,0.6966195234801877,77.28276690363157,1.6963332525712762,79.63625449927143,79.63625449927143
LVA,Latvia,Europe & Central Asia,High income,Not classified,88.16408,110.6738,26.32864,9.898871815829986,,106.658596801758,93.44282989501954,0.7254181086032635,78.10134100436473,1.8492673045366177,81.51059247820204,81.51059247820204
MAC,"Macao SAR, China",East Asia & Pacific,High income,Not classified,86.8324,200.209416,29.75726,8.452261418878264,,90.14524657450404,91.77642165586164,1.0824510885987906,88.2496850734536,2.305146461060587,87.09778255062214,87.09778255062214
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,IBRD,82.215,133.9144,5.506614000000001,6.116523520274527,,80.66390785372623,40.23963651067068,-0.1710391075951597,52.62034405749117,-0.527069657786598,52.38654481203275,52.38654481203275
MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,63.5024,121.8074,23.251420000000003,8.669365898047166,,96.38780723588876,58.64639440410085,0.2156810053794002,63.61251840774844,0.5169898263997617,65.1823892843723,65.1823892843723
MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,12.156208,51.66106,0.10549428,2.481672377671174,,33.8582734836392,5.353438864666658,-2.0222966250122574,0.0,-4.801478359219988,0.0,0.0
MDV,Maldives,South Asia,Upper middle income,IDA,78.6674,153.4602,13.16538,6.890861082253406,,73.28620666130115,31.0050232683459,-0.04220956872402868,56.28220881503451,-0.29445242783192616,55.23746848177562,55.23746848177562
MEA,,,,,50.18,101.04,8.408,6.372641604723711,73.49203491210938,60.812146759033205,27.95352783203122,-0.7699390842086296,35.59714629654786,-2.0008027276263967,34.32468201490539,34.32468201490539
MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,70.40812,99.04572,17.48876,5.748089935322148,95.51133922059452,102.14794311523448,44.3809242248535,-0.04152069146692756,56.30178953675529,-0.22959423109585667,56.03236131188856,56.03236131188856
MIC,,,,,,106.7932706772734,13.23173144421602,7.0479618154556345,86.77176971435546,77.86713104248048,38.12786026000976,-0.27806448107004256,49.578243257280896,-0.701503442978712,50.248709162008254,50.248709162008254
