country_iso3,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,63.95327617193016,69.06385056063529,70.02414773969747,39.56403001763876,70.50723658383559,58.31845196256005,75.91181353441281,60.99199054960061,69.13387649999493,65.54508937644842,60.68844049767864,49.02521843277549,53.99245943075861,34.20491700046515
AUT,60.83222657353213,66.54780744398275,68.08908133680845,38.046763393695706,69.26198601100211,52.32771292176427,61.97045485157224,50.368161305204254,58.50411131480382,55.62902962391589,51.90967604420913,42.475228606459495,47.33149423039231,30.253082471850178
AZE,38.029748463551435,45.54445423823567,48.50068329084184,27.197770666966363,56.07002749945429,39.28701841751387,50.338519792176065,43.1135105508992,49.031846561471646,50.318595925828305,40.98498713510271,34.12669304355079,40.52962752664917,27.412296272176583
BDI,3.9506691590519742,11.458379617484294,10.804405031892292,1.1961340995116472,21.99719380896483,6.813641693376715,14.420659851878398,9.699719602428827,6.357050924229153,15.907056755725781,6.879857781975451,6.31315085111646,14.325041815170044,8.875912920749391
BEL,68.91628328835361,73.16825982755421,74.42879650790331,42.82317952057892,76.80000358434995,58.614958895781285,73.10794428673792,60.80071009044916,70.58804901310033,65.33230579000936,62.596790219164575,50.55247719482544,55.82061301725001,35.05545842015449
BEN,18.01278647620831,15.609539631280636,24.25128007759959,4.696839791605438,28.919937494475946,13.930054889615334,21.072843676097435,8.404794021079827,17.149766250066214,21.959373739609358,12.559490047926083,6.304636652654672,15.616286518582973,15.73852476542083
BFA,5.70216284845238,14.044204326141116,14.401186208085063,3.7457758173874764,19.750461948497144,9.129793533980346,16.511808217215254,11.945828952816568,6.791421898037944,14.86858696644307,11.855974262343668,3.558635235850869,11.390901875807954,0.0
BGD,12.302097117287605,17.292351839521427,16.696177209181084,6.850818249886968,31.658272202425795,14.991327419758088,25.870373995917976,20.60889162005311,24.354058574828436,30.042119705761312,22.63178758937076,19.96765956578189,27.39020854578232,17.590409290641386
BGR,45.01524378140848,52.320243547478704,53.238517535990695,29.29090985192062,58.02523177708536,40.58430770632664,56.08511339967591,50.140898795871244,57.452403471663956,54.71013051535336,50.011443245220576,39.752013839211116,45.52553238458684,29.42700013523161
BHR,44.10236430333924,58.60583389036825,65.14386652325183,37.41531542319796,67.53797701214793,49.51992291513621,66.12830124704298,49.838330218518486,52.6139973124927,49.86421164248355,44.40661117123548,39.5778043215894,48.28296991502271,31.023280724293844
BHS,40.344263650337865,42.99995578406524,50.49859320847858,24.765629583401367,53.9650487647438,34.430935171714275,48.53172716533266,40.92185981681381,44.36419735164206,45.73855262985231,46.758517456050775,31.960076499483336,42.43762803331873,26.113359936388754
BIH,34.2205583467799,40.658018492208434,42.17562008526322,24.108392133975972,48.37871178042737,31.7929243577391,43.591651158561376,37.33266950428117,43.303383763035654,44.671211898516404,39.85345608945785,33.779711520321406,41.33475457484899,26.888319772333407
BLR,42.940960400752445,50.733282150726154,53.36486812557426,29.69256699076385,58.412206491290796,42.12947756539714,56.740960287345096,48.69073538559221,56.398890925264624,54.73160782466082,51.235505495881874,42.400915192539685,47.66786002420807,30.419311985098197
BLZ,25.94058468544024,32.61380443375973,32.88298190828783,15.130714376156929,37.78906250864113,26.01713672488925,33.512515252697995,27.1800066686065,30.9356159343784,40.44627398726287,40.96915281746517,34.325757341641975,37.60122834909216,34.301625626378346
BMU,97.1328914882354,99.62610102040026,88.16348194294942,57.59626516357056,83.90793280418323,55.41062467310444,70.50373821610444,53.60903083662979,40.37940281276099,50.808999309087035,46.94963682452874,38.12207214070879,43.94859435569715,20.38940719027331
BOL,25.945253715503885,35.68787045450186,39.06367609004252,17.50664910348973,41.35312708303597,27.69027642865989,34.47461262479073,28.67208053405142,31.704940767684903,36.1107244739264,34.96442865551636,27.309507663732894,34.431667501494516,25.769714457593313
BRA,36.14261585517619,44.072011973782985,47.46686595885769,26.485421966309232,55.46079429995494,37.56150399428488,49.12992700036012,41.680233106446586,47.244460999167195,46.684262546412555,43.39502010978282,37.34902036641443,42.90319052114144,26.100264333722023
