country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
FIN,-42.58,-5.57,-0.61,-16.02,52.22436666666667,35.73287666666667,66.27696666666667,21.9623,61.407,20.5061,39.6726,13.6318,75.2702,15.334,76.0356,,,61.69726000000001,
FJI,-6.78,-13.7,-8.5,-29.5,,,,,,,,,,,,,,,
FRA,-35.76,-10.51,-0.28,-10.51,35.879623333333335,31.208405,55.63216666666667,12.8292,71.1882,19.7017,46.0175,14.5199,61.6124,26.168,55.4216,21.7825,44.8921,53.2055,
FRO,-67.55,-22.14,-0.38,-22.14,,,,,,,,,,,,,,,
FSM,-20.0,-30.0,-11.29,-31.5,,,,,,,,,,,,,,,
GAB,-40.1,-16.04,-2.65,-12.83,,,,,,,,,,,,,,,
GBR,-42.8,-12.59,-0.29,-12.59,,,,,,,,,,,,,,,
GEO,-13.15,-4.26,-1.11,-3.55,48.7555975,14.13932,39.51763333333333,5.28085,76.3655,21.0073,21.6123,19.7584,40.4344,17.367,30.3994,,,18.85674,
GHA,-6.55,-5.5,-3.81,-1.31,,,,,,,,,,,,,,,
GIB,-49.11,-18.89,-37.78,-25.18,,,,,,,,,,,,,,,
GIN,-5.82,-6.72,-10.64,-5.21,,,,,,,,,,,,,,,
GMB,-0.0,-6.13,-16.14,-4.54,,,,,,,,,,,,,,,
GNB,-33.28,-8.02,-15.3,-4.81,,,,,,,,,,,,,,,
GNQ,-60.902,,,,,,,,,,,,,,,,,,
GRC,-29.35,-10.3,-0.76,-13.31,50.49885666666666,33.4841375,71.74430000000001,8.22767,71.9273,17.3424,44.0567,9.09815,73.1794,10.9092,60.2173,,,42.31043333333333,66.0334
GRD,-39.63,-44.41,-4.96,-44.41,,,,,,,,,,,,,,,
GRL,-70.37,-50.63,-1.18,-35.11,,,,,,,,,,,,,,,
GTM,-28.4,-14.91,-2.93,-14.91,,,,,,,,,,,,,,,
GUM,-50.0,-10.0,-31.47,-18.0,,,,,,,,,,,,,,,
GUY,-27.33,-18.99,-1.71,-18.99,,,,,,,,,,,,,,,
HKG,-21.59,-4.24,-0.1,-5.14,66.0245,38.212595,20.6246,,,16.3516,47.7132,,,8.95094,46.0481,6.15264,21.2139,45.4306,24.28945
HND,-18.99,-17.23,-10.22,-26.12,,,,,,,,,,,,,,,
HRV,-7.8,-4.21,-0.43,-8.42,45.30546666666667,37.7912625,66.74286666666667,20.9721,52.5034,41.8298,39.72,8.26823,71.3399,20.1679,47.912,,,41.572399999999995,42.3009
HTI,-55.0,-3.06,-2.04,-4.64,,,,,,,,,,,,,,,
HUN,-16.27,-7.77,-1.19,-11.77,58.72266666666667,19.04042,73.7325,,,,,,,,,,,45.300675,
IDN,-10.18,-0.92,-1.23,-5.11,32.916295,3.17257,45.76493333333334,49.0764,8.37808,5.97388,0.185632,19.1878,50.5936,18.9093,6.99788,,,11.21851,
IND,-5.43,-2.02,-1.33,-2.18,63.6,62.3,,,,,,,,,,,,48.9,
IRL,-36.81,-21.04,-0.32,-21.04,,,,,,,,,,,,,,,
IRN,-0.55,-0.52,-0.25,-0.46,35.003285,6.906179999999999,11.2941325,,,,,,,,,,,14.045695,0.8311035
IRQ,-26.92,-7.69,-2.27,-11.54,26.5563795,4.2454711666666665,13.1760575,,,,,,,,,,,3.758293666666667,1.3633000000000002
ISL,-75.84,-17.33,-0.25,-17.33,,47.3314875,38.9431,,,,,,,,,,,73.6131,
ISR,-29.49,-12.15,-0.27,-12.15,68.88425000000001,,72.6546,,,,,,,,,,,64.9889,
ITA,-31.46,-10.51,-0.49,-15.77,43.80847,34.973344,46.90035,4.19099,79.8937,17.6857,42.5967,14.6746,60.8246,23.6914,50.0683,24.2422,34.8941,42.568380000000005,
JAM,-42.18,-25.47,-5.69,-33.35,54.12923333333333,10.091375,43.4514,20.7405,60.7658,9.03635,10.2875,44.3096,21.2966,28.702,23.432,,,19.361212,
