country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
NGA,2025,2025,2025,2025,,,,,,,,,,,,,,,
NIC,2025,2025,2025,2025,,,,,,,,,,,,,,,
NLD,2025,2025,2025,2025,2022,,2022,,,,,,,,,,,2022,
NOR,2025,2025,2025,2025,2023,2023,2023,,,,,,,,,,,2023,2023
NPL,2025,2025,2025,2025,,,,,,,,,,,,,,,
NRU,2022,2025,2025,2025,,,,,,,,,,,,,,,
NZL,2025,2025,2025,2025,,,,,,,,,,,,,,,
OMN,2025,2025,2025,2025,2024,2024,2024,,,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024
PAK,2025,2025,2025,2025,,,,,,,,,,,,,,,
PAN,2025,2025,2025,2025,,,,,,,,,,,,,,,
PER,2025,2025,2025,2025,2024,2024,2023,,,,,,,,,,,2024,
PHL,2025,2025,2025,2025,,,,,,,,,,,,,,,
PLW,2025,2025,2025,2025,,,,,,,,,,,,,,,
PNG,2025,2025,2025,2025,,,,,,,,,,,,,,,
POL,2025,2025,2025,2025,2024,2024,2024,2023,2023,2023,2023,2024,2024,2023,2023,,,2024,
PRI,2025,2025,2025,2025,,,,,,,,,,,,,,,
PRK,2022,,,,,,,,,,,,,,,,,,
PRT,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,,,2024,2023
PRY,2025,2025,2025,2025,2023,,2023,,,,,,,,,,,2023,
PSE,2025,2025,2025,2025,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
PYF,2025,2025,2025,2025,,,,,,,,,,,,,,,
QAT,2025,2025,2025,2025,,,,,,,,,,,,,,,
ROU,2025,2025,2025,2025,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,,,2024,2023
RUS,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
RWA,2025,2025,2025,2025,,,,,,,,,,,,,,,
SAU,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
SDN,2025,2025,2025,2025,,,,,,,,,,,,,,,
SEN,2025,2025,2025,2025,,,,,,,,,,,,,,,
SGP,2025,2025,2025,2025,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
SLB,2024,2025,2025,2025,,,,,,,,,,,,,,,
SLE,2022,2025,2025,2025,,,,,,,,,,,,,,,
SLV,2025,2025,2025,2025,,,,,,,,,,,,,,,
SMR,2025,2025,2025,2025,,,,,,,,,,,,,,,
SOM,2025,2025,2025,2025,,,,,,,,,,,,,,,
SRB,2025,2025,2025,2025,2024,2023,2024,,,,,,,,,,,2024,
SSD,2022,2025,2025,2025,,,,,,,,,,,,,,,
STP,2025,2025,2025,2025,,,,,,,,,,,,,,,
SUR,2025,2025,2025,2025,,,,,,,,,,,,,,,
SVK,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2023
SVN,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2023
SWE,2025,2025,2025,2025,2024,2023,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,
SWZ,2025,2025,2025,2025,,,,,,,,,,,,,,,
SXM,2025,2025,2025,2025,,,,,,,,,,,,,,,
SYC,2025,2025,2025,2025,,,,,,,,,,,,,,,
SYR,2025,2025,2025,2025,,,,,,,,,,,,,,,
TCA,2025,2025,2025,2025,,,,,,,,,,,,,,,
TCD,2022,2025,2025,2025,,,,,,,,,,,,,,,
TGO,2025,2025,2025,2025,,,,,,,,,,,,,,,
THA,2025,2025,2025,2025,,,,,,,,,,,,,,,
TJK,2025,2025,2025,2025,,,,,,,,,,,,,,,
TKM,2025,2025,2025,2025,,,,,,,,,,,,,,,
TLS,2025,2025,2025,2025,,,,,,,,,,,,,,,
TON,2023,2025,2025,2025,,,,,,,,,,,,,,,
TTO,2025,2025,2025,2025,,,,,,,,,,,,,,,
TUN,2025,2025,2025,2025,,,,,,,,,,,,,,,
TUR,2025,2025,2025,2025,2024,2023,2024,2024,2024,2023,2023,2024,2024,2024,2024,2023,2023,2024,2023
TUV,2025,2025,2025,2025,,,,,,,,,,,,,,,
TZA,2025,2025,2025,2025,,,,,,,,,,,,,,,
UGA,2025,2025,2025,2025,,,,,,,,,,,,,,2024,
UKR,2025,2025,2025,2025,2021,2021,2021,,,,,,,,,,,2021,2021
URY,2025,2025,2025,2025,2022,2022,2022,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2022,2022
USA,2025,2025,2025,2025,,,,,,,,,,,,,,,
UZB,2025,2025,2025,2025,2022,2023,2022,,,,,,,,,,,2023,2023
VCT,2025,2025,2025,2025,,,,,,,,,,,,,,,
VEN,2025,2025,2025,2025,,,,,,,,,,,,,,,
VGB,2025,2025,2025,2025,,,,,,,,,,,,,,,
VIR,2025,2025,2025,2025,,,,,,,,,,,,,,,
VNM,2025,2025,2025,2025,2024,2024,2024,2023,2023,,,,,,,,,2024,2024
VUT,2025,2025,2025,2025,,,,,,,,,,,,,,,
WSM,2025,2025,2025,2025,,,,,,,,,,,,,,,
YEM,2025,2025,2025,2025,,,,,,,,,,,,,,,
ZAF,2025,2025,2025,2025,,,,,,,,,,,,,,,
ZMB,2025,2025,2025,2025,,,,,,,,,,,,,,,
ZWE,2025,2024,2025,2025,,,,,,,,,,,,,,,
