country_iso3,ITU_FIXED_BB_5GB,ITU_MB_DATAONLY_5GB,ITU_MB_HIGH_BASKET_5GB,ITU_MB_LOW_BASKET_1GB,ITU_SKILL_COMM_COLLAB,ITU_SKILL_CONTENT_CREATION,ITU_SKILL_DATA_LITERACY,ITU_SKILL_LEVEL__HHU781CC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781CC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781DCC2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781IDL2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781PS2_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF1_HHTotalIndividual,ITU_SKILL_LEVEL__HHU781SF2_HHTotalIndividual,ITU_SKILL_PROBLEM_SOLVING,ITU_SKILL_SAFETY
BEL,-0.5537893113152534,-0.14715004686312066,0.5462245521707971,-0.2895655903757956,0.05976107632933213,0.7715808212569598,0.47244270178859304,-0.05449806618125639,0.27255417602950677,-0.4972088674471667,0.9676532465425907,0.2532819853587847,0.37312754722322333,-0.1513480335720868,0.8150527833950544,0.037728741822471115,1.1627337856130864,1.2688411010347185,1.648964699658249
BEN,0.13109361410478337,0.41683584772497095,-0.7300750004913106,0.5510139777310734,,,,,,,,,,,,,,,
BFA,0.19787074272587174,0.5263549051945212,-1.137041969704103,1.0105797503379728,,,,,,,,,,,,,,,
BGD,1.1031181925954998,0.9003587613150259,0.44927692337926806,0.8395273142079288,-1.5444962226328782,-1.1839631256044052,-1.7160791344895316,,,,,,,,,,,-1.5151781765641512,-1.135345601297243
BGR,0.6227402235775459,0.627678659043901,0.523852022449675,0.13329365087272546,-0.23079620065641437,-0.46294786368808,0.04440631078412362,0.39321176048909384,-0.47295416612300833,0.19992273091254104,-0.8206929655486023,0.17125435472412015,-0.4703178371623035,0.7248121067764793,-1.366796996831019,1.1575808510067866,-0.8725695806320894,-0.5641574794462924,
BHR,-0.26330880181351934,0.037616798391630554,0.4727148116585388,-0.851909650786155,1.4256430892119392,2.4592679390307937,0.6782535782234341,,,,,,,,,,,1.1832250940146591,1.182297668569378
BHS,-1.0704773440209243,-1.951606898504281,0.4482115648211194,-1.3268921665635733,,,,,,,,,,,,,,,
BIH,0.6210707953620188,0.39970021288279656,0.38961684412294245,0.2507545512195368,-0.21855347378125203,-0.4059775411221085,0.05381262026695921,-0.14883091705100235,0.16385585906665046,,,-0.6340505113505618,0.22016546459101574,,,-0.8522153535146421,-1.2404044997374684,-0.7854392968567746,-0.9313364195825482
BLR,1.0643039865844923,0.6924960604034307,0.5078716440774449,0.655994657416036,1.9947727336866568,-0.35504144518723824,0.41173122682596897,-1.1385165534009343,1.024824797472627,1.1858832185291248,-0.7673204069402731,-0.11536779099488115,0.520556038969185,-0.20521300752306817,0.25468727736368324,-0.48008174213142285,-0.05768226235528313,-0.01708558133891205,0.3221530235666226
BLZ,0.1795070323550724,-0.2752947943785128,0.3043881594710488,0.031249493696433053,,,,,,,,,,,,,,,
